Location,Date_Time,Temperature_C,Humidity_pct,Precipitation_mm,Wind_Speed_kmh
San Diego,1/14/2024 21:12,10.68300109,41.19575357,4.020118716,8.233540247
San Diego,5/17/2024 15:22,8.734139782,58.3191074,9.111623448,27.71516126
San Diego,5/11/2024 9:30,11.63243631,38.82017527,4.607511377,28.73295129
Philadelphia,2/26/2024 17:32,-8.628975896,54.07447398,3.183719748,26.36730267
San Antonio,4/29/2024 13:23,39.80821297,72.89990795,9.598282137,29.89862167
San Diego,1/21/2024 8:54,27.34105487,49.02323607,9.166543303,27.47389608
San Jose,1/13/2024 2:10,1.881883368,65.74232454,0.221709043,1.073111781
New York,1/25/2024 19:04,-6.894765541,30.80489401,8.027623514,16.84833687
New York,3/29/2024 5:20,0.963544894,38.81915764,3.640129169,7.989023972
San Jose,5/18/2024 9:14,-1.607088038,82.19870131,4.101492972,25.64728207
New York,3/4/2024 13:47,35.14555907,54.75286566,8.349194966,25.43031002
Houston,3/7/2024 22:03,15.81676357,80.11990203,3.760004186,16.75213221
Dallas,2/27/2024 21:07,32.01689761,53.19437064,3.552671054,3.050196386
Houston,5/9/2024 0:53,38.64126926,85.95272556,0.470781843,20.77926401
Houston,5/12/2024 15:57,39.66677192,72.74702581,1.263722159,6.479492097
Philadelphia,3/9/2024 1:51,28.29011469,35.23916969,9.347204733,14.06676464
San Antonio,2/10/2024 15:05,16.3497895,65.81260731,0.109090218,6.59703904
Chicago,1/6/2024 2:59,26.78681109,31.51361442,0.496024001,22.9800953
San Antonio,5/8/2024 16:20,35.17954764,35.083071,9.597294106,4.507862706
San Diego,1/31/2024 5:38,14.60581923,66.64223518,1.515637132,29.4318902
San Diego,1/25/2024 12:59,33.02335072,52.60748495,0.212142687,16.73332489
New York,2/19/2024 12:26,-7.383810969,54.08997344,1.905730597,6.63706436
San Antonio,2/14/2024 4:43,30.73968441,85.60377943,9.250558827,24.37595192
San Jose,4/22/2024 3:13,34.53965433,57.79300985,3.583559549,13.04474502
Houston,1/11/2024 2:53,-5.236300437,58.05429592,4.072880334,24.75405306
San Jose,3/5/2024 21:38,-1.733200056,47.97320619,7.0663815,3.430740852
San Diego,3/27/2024 10:44,24.31272429,57.86927949,9.693765837,23.9471878
San Antonio,2/8/2024 20:45,3.017950836,49.86821775,6.906614157,6.212007745
New York,1/4/2024 21:41,14.56832796,41.35017964,3.342764687,4.781285855
Los Angeles,2/15/2024 20:47,-2.409511389,46.83400432,4.550642656,7.437357098
New York,2/2/2024 2:17,-2.862063146,53.3951721,5.473386906,28.51943017
Dallas,2/22/2024 14:16,12.86577948,44.7259115,4.809864949,5.567550045
Chicago,4/16/2024 0:07,17.5878202,32.81792254,0.128803117,0.2341464
Houston,2/29/2024 23:17,7.630376828,33.52361068,2.462747793,13.23269633
Philadelphia,4/20/2024 9:34,0.351373257,88.01515668,1.795374482,21.66546592
Dallas,3/22/2024 2:34,17.43949491,56.21016081,9.72897082,9.497026568
Philadelphia,3/16/2024 23:47,23.40568084,78.9145056,7.767704375,3.675792063
Phoenix,1/29/2024 7:08,1.512626785,89.41784602,5.210117251,7.332915455
Chicago,4/1/2024 3:12,-2.562659564,30.35659269,2.624327941,2.601357173
New York,4/21/2024 10:17,8.863085502,71.49254432,4.878106976,21.90418631
Dallas,4/3/2024 22:07,6.514283596,42.00601481,1.40519717,18.38576664
New York,2/19/2024 19:53,38.54553446,40.45083028,1.123494472,13.26201955
Philadelphia,5/18/2024 2:32,-2.015243206,36.06219294,6.664136009,18.62346496
San Diego,1/24/2024 12:04,-6.853765398,84.66678017,9.02769073,18.23363186
San Diego,3/3/2024 11:02,35.6665646,74.06095593,1.328726429,24.16129534
Chicago,4/3/2024 12:07,7.166149705,50.37727256,4.669552853,11.84116534
Phoenix,3/24/2024 22:44,34.45364756,59.57697279,4.51432276,20.48715046
Chicago,4/5/2024 13:22,38.38623326,74.04971234,6.792912658,3.292467222
Philadelphia,3/26/2024 12:45,7.106603067,79.17732292,5.767120387,22.36447863
San Jose,5/8/2024 20:16,35.09744038,40.22581975,6.088405819,20.01338013
San Diego,2/10/2024 22:46,-5.855823754,52.26313782,7.113659332,2.263166802
Phoenix,3/31/2024 18:02,4.644342013,44.42040499,1.97600954,19.34360602
San Antonio,3/15/2024 0:09,25.81876556,56.58720205,2.810242012,17.78390392
New York,3/27/2024 22:42,-0.071982121,57.84436962,6.44044913,20.61742322
New York,2/19/2024 22:13,19.49970412,30.72690559,0.961290884,9.21448193
Philadelphia,3/15/2024 1:56,23.03489275,61.83627506,5.984887195,23.05235781
San Antonio,1/18/2024 2:56,28.56415279,34.87164279,6.136890967,22.28167694
Chicago,1/25/2024 8:21,8.708564975,85.23464429,6.896760568,20.61685797
San Jose,2/11/2024 4:20,39.68529996,36.12414499,4.860976002,26.39524547
San Antonio,1/10/2024 14:19,38.47474943,46.04406684,8.355548511,5.170237503
Dallas,5/6/2024 17:55,-5.378187061,84.47965426,7.589245088,28.50827264
Houston,2/17/2024 19:00,36.97609044,34.396348,7.531080295,5.400062538
Los Angeles,2/5/2024 12:16,30.72841714,64.88170105,2.074994496,29.12934827
Chicago,3/5/2024 19:08,-2.584092067,33.05959787,0.220341533,12.46244226
Los Angeles,2/6/2024 19:02,31.73056676,65.33243678,3.673384684,19.71032549
San Jose,2/27/2024 23:17,34.88256215,51.26609075,8.170773092,28.58185587
New York,3/16/2024 8:16,30.70803958,54.76298745,6.051314925,4.723509363
New York,5/4/2024 6:50,6.926827238,85.18748934,4.983685023,13.20394537
New York,2/16/2024 4:53,35.45401366,48.50552448,6.041030922,20.96640089
San Antonio,4/13/2024 1:17,35.20538644,76.33970377,8.649920784,1.516557604
Los Angeles,1/6/2024 19:12,33.33541654,83.38480071,4.580279155,17.43262832
San Antonio,3/5/2024 22:47,33.31303823,74.84844146,6.77100976,14.7300668
San Jose,1/18/2024 7:59,32.77500795,78.27035012,2.171005951,0.667236877
Dallas,1/15/2024 12:05,-2.994002146,58.63210533,3.698849637,20.08018362
San Antonio,3/13/2024 22:42,18.25073612,89.90912122,5.597309931,18.7553257
Dallas,4/15/2024 13:57,-8.956553013,80.73161943,2.552757895,4.020764669
Chicago,1/22/2024 1:57,15.80199893,51.62227631,1.258271331,23.72235752
Houston,4/4/2024 23:04,20.32075671,65.54468591,1.963732183,19.64002961
Philadelphia,4/25/2024 1:43,-5.129359587,66.58527292,1.554025508,9.958618676
Los Angeles,5/17/2024 9:13,-3.089434138,58.55910059,5.329172081,20.47403476
Houston,2/17/2024 18:32,32.60828834,39.6713564,8.453786764,18.49945788
Dallas,2/17/2024 0:26,13.23432107,80.16050747,7.893232502,19.61476474
Houston,3/6/2024 21:37,37.51556044,75.94624315,0.034862375,24.30661696
Los Angeles,5/5/2024 12:20,29.29222243,37.25006398,1.715967561,21.52929786
San Diego,2/2/2024 10:25,38.19855791,84.96510097,2.753189784,13.67604628
Phoenix,4/30/2024 6:09,1.174859018,59.38993865,1.879023698,4.159059657
Los Angeles,4/3/2024 8:14,-3.99763725,71.73905344,5.163653941,20.26335366
Philadelphia,1/28/2024 4:20,1.261871974,31.19578807,7.476354663,18.37136893
Philadelphia,5/10/2024 11:49,20.95291805,45.51755185,9.645094702,13.03656583
Houston,4/16/2024 20:54,24.26456868,87.39781381,4.183074542,22.97140224
Houston,4/16/2024 13:05,29.86689896,61.01892777,2.160635538,22.40361815
San Jose,1/22/2024 20:21,10.09839464,68.8909953,5.010062451,2.740234977
San Antonio,1/5/2024 3:41,34.36168343,39.63143166,6.322696188,15.45202063
San Diego,2/24/2024 16:53,-8.248509048,58.04193535,4.204966179,8.196800137
San Diego,4/18/2024 4:13,0.328006372,82.21373173,2.599194955,24.22584198
San Jose,2/26/2024 5:58,15.80875446,34.91319187,0.738384621,14.92487277
San Diego,3/10/2024 6:11,18.52254062,82.75321579,4.054785917,1.96251633
Phoenix,3/15/2024 1:15,-6.095629317,54.08685742,1.591349071,2.985199143
Houston,2/17/2024 9:34,16.94164686,52.75535247,5.813487824,11.80286795
Chicago,4/10/2024 21:27,2.689431207,46.1896939,3.370443906,10.96342235
